name,logo_url,categories,statuses,countries,is_global,partner_url
Sapaad,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b128d994c80152c80d7_Sapaad-logo.webp,POS Systems,Live,United Arab Emirates|Saudi Arabia,False,https://www.urbanpiper.com/integrations
Semnox,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/666443a0c2505f0bbc487c41_Semnox%20Logo.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Sequential Soft/HIO POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698597f24ca81fd0c32217_Hiopos_logo.webp,POS Systems,Live,,False,https://www.urbanpiper.com/integrations
Sero,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672c05f13d07207b264c6da_logo.webp,POS Systems,Upcoming,United States|India,False,https://www.urbanpiper.com/integrations
Shadowfax,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658e860c72506b342e1612_Shadowfax-logo%20(1).webp,Fulfilment,Live,India,False,https://www.urbanpiper.com/integrations
Sigmoss,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f8ada22f1701e0443e6_sigmoss-logo-6569797ee8617.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
SimpleTouch,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6878f92852d112697531d391_Simple%20Touch%20POS%20-%20UP.webp,POS Systems,Live,Egypt,False,https://www.urbanpiper.com/integrations
Skip the Dishes,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66fb85030b4912068155864e_Skip%20logo.webp,Delivery platforms,Live,Canada,False,https://www.urbanpiper.com/integrations
Slerp,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6662b561bcbf2c6b1da1f9fd_slerp.webp,Online Ordering,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Smart POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698af28a65a2c6c4ff3bd2_Smart%20pos-logo.webp,POS Systems,Live,,False,https://www.urbanpiper.com/integrations
SmartQ,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c87a8418071be5a3974_smartq-logo-6569797f8c11d.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Smiles,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690da2e6d42b37844d0d89d7_Integration%20page%20icons%20(12).png,,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Sonic POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed3df9e75d8251c5d410_Untitled%20design%20(52).png,POS Systems,Upcoming,Bahrain|Egypt|Jordan|Kuwait|Oman,False,https://www.urbanpiper.com/integrations
Sparktech,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ce263931ea93e278c85_sparktech-logo-6569798027f9d.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
SpeQue POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a5275665a89afb984e7_speque-logo-656979802cb5d.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Spotlight,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985801c2bdf62d236d974_Spotlight%20Logo.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Square,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65659824af7a1650b27b8dd0_Square%20logo%20(1).png,POS Systems,Live,United Kingdom|United States|Australia,False,https://www.urbanpiper.com/integrations
Squirrel,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67d00af6fe0a7e31fa937_squirrel_systems_logo.webp,POS Systems,Live,United Arab Emirates|Saudi Arabia|Kuwait,False,https://www.urbanpiper.com/integrations
Stackedin,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672be8b9afe71517716d478_Screenshot%202024-06-19%20162630.webp,POS Systems,Live,United States,False,https://www.urbanpiper.com/integrations
Stuart,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ef37307f8a2334e9fc0_Stuart_Logo%20(1).webp,Fulfilment,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
SummerPOS/Toastpie,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979fb1c2bdf62d22f66f3_summer-apptoastpie-logo-65697980d3449.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Sumup,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989a2866875695e0a820b_sumup.webp,POS Systems,Live,United Kingdom|United States,False,https://www.urbanpiper.com/integrations
Supy,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2a86d8963ffca8ff788_Untitled%20design%20(50).png,POS Systems,Live,Bahrain|Egypt|Jordan|Kuwait|Oman,False,https://www.urbanpiper.com/integrations
Svika,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c9c1c2bdf62d230f3ea_svika-logo-1-65697981623d0.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Swiggy,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644afe45db91a91b31516c_Swiggy-logo%20(1).webp,Delivery platforms,Live,India,False,https://www.urbanpiper.com/integrations
SynQues/Q4 Retail,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c3579ab2f7b647ec3ee_q4-retail-logo-6569797c00cea.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Syrve,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d25f24ca81fd0c824df_syrve_logo.webp,POS Systems,Live,Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
TMBill,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/679b491529c25742b2a1e2e0_TMBill-logo.png,POS Systems,Live,Qatar|Kuwait|Saudi Arabia|United Arab Emirates|India,False,https://www.urbanpiper.com/integrations
Talabat,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658946d2b50ef76814409d_talabat-logo-_1_.webp,Delivery platforms,Live,United Arab Emirates|Kuwait|Qatar|Bahrain|Oman,False,https://www.urbanpiper.com/integrations
Talabna,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690da0c0961e62583c2deb82_Integration%20page%20icons%20(13).webp,Delivery platforms,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Tevalis,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d41f25e720033441484_Tevalis%20logo.webp,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
The Chefz,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1746c32b40cdb7cba97a_The%20Chefz%20logo.webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
The On Demand Company,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/675974b71689a1cdb9b53347_The%20on%20demand%20logo.webp,POS Systems,Live,United States,False,https://www.urbanpiper.com/integrations
Thinksoftwares,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656981008d994c8015257e3a_think-softwares.webp,POS Systems,Live,United Arab Emirates|Oman|Bahrain,False,https://www.urbanpiper.com/integrations
Tipplr,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658816d750204ffa58f42d_Tipplr-logo%20(1).webp,Online Ordering,Live,India,False,https://www.urbanpiper.com/integrations
ToYou,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589e46f49dfef9e1a70a1_To-You-LOGO%20(1).webp,Delivery platforms,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Toast,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68341141130e81870bb746b7_toast-pos.png,POS Systems,Live,United Kingdom|United States,False,https://www.urbanpiper.com/integrations
TouchBistro,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f1cf9738c8487c29ff8_touchbistro.webp,POS Systems,Live,United States|Canada,False,https://www.urbanpiper.com/integrations
Tray,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6878fae8ac3199eb1d1dfac3_Tray%20POS%20-%20UP.webp,POS Systems,Live,United States|Saudi Arabia,False,https://www.urbanpiper.com/integrations
Uber Eats,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a8e3e5b5a57f04a66a981c_Uber%20Eats%20logo%20(1).webp,Delivery platforms,Live,United Kingdom|Canada|United States|Kenya|Sri Lanka,False,https://www.urbanpiper.com/integrations
Uengage,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b699e955286d95c5638_uEngage-logo%20(1).webp,Online Ordering,Live,India,False,https://www.urbanpiper.com/integrations
Urbandart,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c14a8418071be59f490_urbandart-logo-65697981f3f21.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Vada,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/679c887fbd9d9a04edb58be7_vada-logo.png,POS Systems,Live,United States,False,https://www.urbanpiper.com/integrations
Vertex,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697da866eaeb8146e800bf_vertex-logo-6569798210e62.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Weevi,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690d9af530e764c03d56bf54_Integration%20page%20icons%20(10).webp,Online Ordering,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Yotto Labs,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c7475665a89afbac40b_yotto-labs-logo-6569798291904.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Your buddy,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697dcc79ab2f7b647f89f6_your-buddy-logo-6569798296fbe.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Zentrades/Smartserv,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ad37c62d0c2963a712b_smartserv-logo-6569797f8c591.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Zomato,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6564498db08c1110d01e9a87_Zomato_logo%20(1).webp,Delivery platforms,Live,India,False,https://www.urbanpiper.com/integrations
eZee Optimus,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/666442fb9003a2057a299fd3_eZee%20Optimus_Logo.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
kayana POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/688a01eb64911a38b1ee2930_Integration%20page%20icons%20(5).png,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
